country,admin_1,market,latitude,longitude,period_date,currency,product,value
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-11-04,ETB,livestock_goat,3940.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-11-11,ETB,livestock_goat,3800.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-11-18,ETB,livestock_goat,3750.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-11-25,ETB,livestock_goat,3670.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-12-02,ETB,livestock_goat,3500.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-12-09,ETB,livestock_goat,3570.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-12-16,ETB,livestock_goat,3550.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-12-23,ETB,livestock_goat,3420.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2020-12-30,ETB,livestock_goat,3540.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-01-06,ETB,livestock_goat,4260.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-01-13,ETB,livestock_goat,4120.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-01-20,ETB,livestock_goat,4060.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-01-27,ETB,livestock_goat,4040.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-02-03,ETB,livestock_goat,3760.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-02-10,ETB,livestock_goat,3900.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-02-17,ETB,livestock_goat,3820.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-02-24,ETB,livestock_goat,4060.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-03-03,ETB,livestock_goat,4040.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-03-10,ETB,livestock_goat,4480.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-03-17,ETB,livestock_goat,4560.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-03-24,ETB,livestock_goat,4500.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-03-31,ETB,livestock_goat,4160.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-04-07,ETB,livestock_goat,4000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-04-14,ETB,livestock_goat,3980.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-04-21,ETB,livestock_goat,4160.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-04-28,ETB,livestock_goat,4420.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-05-05,ETB,livestock_goat,5200.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-05-12,ETB,livestock_goat,4900.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-05-19,ETB,livestock_goat,5940.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-05-26,ETB,livestock_goat,5700.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-06-02,ETB,livestock_goat,5600.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-06-09,ETB,livestock_goat,5940.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-06-16,ETB,livestock_goat,6160.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-06-23,ETB,livestock_goat,6100.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-06-30,ETB,livestock_goat,6240.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-07-07,ETB,livestock_goat,6320.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-07-14,ETB,livestock_goat,6580.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-07-21,ETB,livestock_goat,6580.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-07-28,ETB,livestock_goat,6540.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-08-04,ETB,livestock_goat,6680.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-08-11,ETB,livestock_goat,6600.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-08-18,ETB,livestock_goat,6560.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-08-25,ETB,livestock_goat,7080.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-09-01,ETB,livestock_goat,6920.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-09-08,ETB,livestock_goat,7140.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-09-15,ETB,livestock_goat,7000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-09-22,ETB,livestock_goat,6980.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-09-29,ETB,livestock_goat,6860.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-10-06,ETB,livestock_goat,6710.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-10-13,ETB,livestock_goat,6650.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-10-20,ETB,livestock_goat,6560.0
